fecha_hora,consentimiento,edad,genero,vinculo_universidad,ha_donado,frecuencia_donacion,causa_donacion,donaria,monto_donacion,confianza_campana,prob_llegada_recursos,compartiria_campana,razon_donacion,confianza_alcaldias,confianza_gobierno,confianza_ong,confianza_universidades,confianza_religiosa,confianza_empresas,capacidad_institucion,liderazgo_institucion,experiencia_emergencia
8/9/2026 17:38:35,acepto participar,19,masculino,estudiante,"si, bienes",rara vez (1 vez al ano),animales,si," $ 40,000.00 ",6,60 - 80,si,siempre me ha gustado ayudar y mas a los animales ya que tambien son seres vivos,4,4,6,7,8,10,gobierno nacional,gobierno nacional,no
8/9/2026 17:45:02,acepto participar,25,femenino,ninguno,"si, ambas",ocasional (2-4 veces al ano),desastres,si," $ 25,000.00 ",8,60 - 80,si,soy una mujer que le gusta ayudar y cuando se me da la oportunidad de hacerlo lo hago,2,3,9,9,10,10,gobierno nacional,empresas Privadas,si
8/9/2026 17:47:57,acepto participar,21,masculino,ninguno,"si, ambas",ocasional (2-4 veces al ano),desastres,si," $ 45,000.00 ",9,80 - 100,si,"La mayoria de veces he sido generoso con ayudas monetarias en desastres y demas, me gusta mucho ayudar a la gente y sobretodo que lo que uno ofrezca les sirva.",4,6,7,9,10,10,gobierno nacional,alcaldias,no
8/9/2026 17:50:27,acepto participar,20,masculino,estudiante,"si, bienes",ocasional (2-4 veces al ano),emergencias,si," $ 50,000.00 ",10,60 - 80,si,me gusta siempre ayudar en lo que pueda aportar en emergencias,3,3,5,7,9,10,gobierno nacional,alcaldias,no
8/9/2026 17:53:23,acepto participar,20,masculino,estudiante,"si, bienes",ocasional (2-4 veces al ano),desastres,si," $ 30,000.00 ",7,60 - 80,tal vez,donaria si es necesario y que haya gente que lo necesite realmente bajo una circunstancia dificil,4,6,9,10,7,9,gobierno nacional,gobierno nacional,no
8/9/2026 17:55:43,acepto participar,21,masculino,estudiante,"si, bienes",rara vez (1 vez al ano),desastres,si," $ 45,000.00 ",8,60 - 80,si,"Cuando la gente lo necesite sea por desastres naturales, con todo el gusto dono",3,3,5,5,6,6,gobierno nacional,empresas Privadas,no
8/9/2026 17:57:52,acepto participar,23,masculino,estudiante,"si, bienes",ocasional (2-4 veces al ano),emergencias,si," $ 40,000.00 ",8,80 - 100,si,"mis papas me criaron asi, y me nace hacerlo desde el corazon",4,6,7,9,9,10,gobierno nacional,gobierno nacional,no
8/9/2026 17:59:33,acepto participar,20,femenino,estudiante,"si, bienes",ocasional (2-4 veces al ano),animales,si," $ 20,000.00 ",6,40 - 60,tal vez,"me gusta mucho donar a causas de animales, y tambien desastres",5,5,7,9,10,10,gobierno nacional,gobierno nacional,no
8/9/2026 18:02:50,acepto participar,20,masculino,estudiante,"si, ambas",ocasional (2-4 veces al ano),salud,si," $ 20,000.00 ",7,60 - 80,si,Cuando haya gente en condiciones muy graves sea por un desastre o por salud ,2,3,5,7,9,10,gobierno nacional,gobierno nacional,si
8/9/2026 18:41:04,acepto participar,21,masculino,estudiante,"no, ninguna de las anteriores",rara vez (1 vez al ano),religiosa,si," $ 50,000.00 ",3,20 - 40,tal vez,me gustaria donar ya que es una situacion fuera de contexto donde nadie puede evitar un desastre natural ,2,2,2,6,2,5,empresas Privadas,empresas Privadas,no
